Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
80.0, 96322.56285221134, 91493.71433183126, 97574.88639055329, 101122.33175305507, 80997.42454259688, 87385.24018350127, 85869.83661292036, 83618.0324695149, 113229.6235239057, 94496.49238544612, 47376.75754746885, 86482.8108528627, 108191.92030333524, 105890.83056340582, 88471.80318496266, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 10.0, 62.0, 0.0, 0.0, 0.0, 1.6558069915383596E9, 0.0, 2022-06-21 19:23:11.538
82.0, 96445.7209641601, 91340.15784742331, 96538.07837224941, 100676.39209942725, 81070.04536033218, 87429.27312007823, 85329.88552211352, 83120.99672806225, 114179.79618070081, 99690.14372708127, 56066.936977736594, 95671.12126006142, 108031.23361244603, 105862.01916480294, 89412.54340559762, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 10.0, 70.0, 0.0, 0.0, 0.0, 1.655806991546318E9, 0.0, 2022-06-21 19:23:11.546
84.0, 96354.34703282679, 91514.23323324123, 96652.74282130515, 100729.9692308866, 81012.57902533759, 87401.04286683118, 85628.97421466997, 83468.18637468653, 113199.35926191323, 94456.3486524044, 47703.74121710554, 86337.21158948084, 108197.57529468242, 105904.1969065901, 88404.65854461891, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 10.0, 78.0, 0.0, 0.0, 0.0, 1.6558069915533423E9, 0.0, 2022-06-21 19:23:11.553
86.0, 96428.42071395168, 91337.52034157758, 97458.27733972995, 101057.37758366796, 81041.03279602919, 87403.30039302116, 85539.92486476003, 83252.38028197055, 114211.17802991606, 99641.70749684662, 55610.96139084833, 95609.40809362032, 108025.82449028785, 105868.74703988398, 89459.72793814278, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 88.0, 0.0, 123.0, 10.0, 86.0, 0.0, 0.0, 0.0, 1.6558069915623522E9, 0.0, 2022-06-21 19:23:11.562
88.0, 96444.44691472614, 91525.31969849106, 95739.85287426149, 100348.40260129007, 81033.74612733677, 87429.76485845624, 85383.93204020645, 83325.44813459495, 113215.56427664332, 94612.98967754719, 48308.758236021786, 86518.41718178001, 108196.1894865262, 105896.01616811946, 88363.9560179658, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.0, 168.0, 0.0, 123.0, 10.0, 94.0, 0.0, 0.0, 0.0, 1.6558069915703163E9, 0.0, 2022-06-21 19:23:11.570
90.0, 96408.23708870854, 91333.92171072027, 98348.94965278503, 101435.32323066273, 81049.25823798875, 87399.83587263059, 85815.76774308298, 83426.45566778847, 114201.83500073374, 99432.98690712296, 54908.44606261803, 95260.09503127278, 108029.28901067842, 105888.72949942703, 89495.6695432269, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 10.0, 102.0, 0.0, 0.0, 0.0, 1.6558069915783832E9, 0.0, 2022-06-21 19:23:11.578
92.0, 96432.84635935383, 91512.66861112937, 94897.63914318552, 99998.48604184223, 81056.85783110355, 87445.5451900417, 85146.60121758, 83166.79545245117, 113254.92569862911, 94948.73523101035, 49146.278100762145, 87057.295388853, 108200.5927801839, 105910.18717410413, 88384.85489903152, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 10.0, 110.0, 0.0, 0.0, 0.0, 1.6558069915854435E9, 0.0, 2022-06-21 19:23:11.585
94.0, 96345.4957420225, 91330.6583560298, 99128.24322321931, 101758.39534501974, 81028.53817087867, 87377.48412817527, 86023.84013221743, 83572.14433814817, 114148.41433148556, 99048.84982691405, 53980.53574330041, 94672.4453177983, 108037.78267357143, 105891.97050237305, 89473.78718540516, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 10.0, 118.0, 0.0, 0.0, 0.0, 1.6558069915943882E9, 0.0, 2022-06-21 19:23:11.594
96.0, 96484.23301985658, 91499.70459934529, 94197.60485858975, 99690.85898290384, 81061.99873232827, 87462.01842570525, 84926.41418295076, 83031.61210198548, 113341.4493014156, 95414.14325405876, 50185.23188653373, 87887.01449477846, 108183.65015788678, 105881.59929294579, 88419.83537910407, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 80.0, 0.0, 123.0, 10.0, 126.0, 0.0, 0.0, 0.0, 1.6558069916023762E9, 0.0, 2022-06-21 19:23:11.602
98.0, 96330.22950055952, 91346.81866727099, 99752.1474662003, 102011.9311823763, 81011.66260381491, 87371.4268054279, 86204.8445588165, 83707.10417116931, 114071.0772956702, 98542.09107662334, 52936.128131881735, 93823.3472494301, 108047.05864752039, 105905.91799091316, 89413.01279223118, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.0, 192.0, 0.0, 123.0, 10.0, 134.0, 0.0, 0.0, 0.0, 1.6558069916093743E9, 0.0, 2022-06-21 19:23:11.609
